names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country,date_fixed
"Avengers: Endgame","04/24/2019 ",83,"Adventure, Science Fiction, Action","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","Robert Downey Jr., Tony Stark / Iron Man, Chris Evans, Steve Rogers / Captain America, Mark Ruffalo, Bruce Banner / Hulk, Chris Hemsworth, Thor Odinson, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, Don Cheadle, James Rhodes / War Machine, Paul Rudd, Scott Lang / Ant-Man, Benedict Cumberbatch, Stephen Strange / Doctor Strange","Avengers: Endgame"," Released"," English",400000000,2794731755,AU,2019-04-24
"Spider-Man: Across the Spider-Verse","06/02/2023 ",0,"Animation, Action, Adventure, Science Fiction","After reuniting with Gwen Stacy, Miles Morales - Brooklyn's full-time, friendly neighborhood Spider-Man - is catapulted across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must redefine what it means to be a hero so he can save the people he loves most.","Shameik Moore, Miles Morales / Spider-Man (voice), Hailee Steinfeld, Gwen Stacy / Spider-Woman (voice), Jake Johnson, Peter B. Parker / Spider-Man (voice), Oscar Isaac, Miguel O'Hara / Spider-Man 2099 (voice), Issa Rae, Jessica Drew / Spider-Woman (voice), Daniel Kaluuya, Hobart 'Hobie' Brown / Spider-Punk (voice), Jason Schwartzman, The Spot (voice), Brian Tyree Henry, Jefferson Davis (voice), Luna Lauren Velez, Rio Morales (voice)","Spider-Man: Across the Spider-Verse"," Post Production"," English",264940000,175269998.8,US,2023-06-02
MexZombies,"10/26/2022 ",71,"Horror, Action, Comedy","A group of teenagers must face a zombie apocalypse, and help reestablish order.","Bárbara de Regil, Jefe Vargas, Iñaki Godoy, Tavo, Sara Maldonado, Sara, Vincent Michael Webb, Johnny, Mayra Batalla, Mamá Tavo, Alejandro Puente, Deivid, Daniel Tovar, Lalo, Ricardo Polanco, Runner, Roberta Damián, Ana",MexZombies," Released"," Spanish, Castilian",74400000,486333316,US,2022-10-26
"Harry Potter and the Order of the Phoenix","07/11/2007 ",77,"Adventure, Fantasy, Mystery","Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.","Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Imelda Staunton, Dolores Umbridge, Helena Bonham Carter, Bellatrix Lestrange, Robbie Coltrane, Rubeus Hagrid, Ralph Fiennes, Lord Voldemort, Michael Gambon, Albus Dumbledore, Jason Isaacs, Lucius Malfoy","Harry Potter and the Order of the Phoenix"," Released"," English",150000000,939619849,AU,2007-07-11
"The Northman","04/21/2022 ",71,"Action, Adventure, Fantasy","Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.","Alexander Skarsgård, Amleth, Nicole Kidman, Queen Gudrún, Claes Bang, Fjölnir the Brotherless, Ethan Hawke, King Aurvandil War-Raven, Anya Taylor-Joy, Olga of the Birch Forest, Gustav Lindh, Thórir the Proud, Elliott Rose, Gunnar, Willem Dafoe, Heimir the Fool, Phill Martin, Hallgrímr Half-Troll","The Northman"," Released"," English",70000000,69633110,AU,2022-04-21
"I Believe","11/07/2017 ",70,"Family, Drama","A 9 year old boy experiences God's power in a supernatural way.","Rowan Smyth, Brian Webber, Matt Lindquist, Simon Webber, Wilford Brimley, Pastor, Jeremy London, Captain Iberson, Tom Sizemore, Don Carlo, William McNamara, Robert, Sarah Navratil, Patricia Webber, Thomas Silcott, Frank Williams, Savanah Faith Milby, Becky","I Believe"," Released"," English",127600000,683545513.4,US,2017-11-07
"Blue's Big City Adventure","11/18/2022 ",74,"Family, Adventure, Music, Animation","When Josh gets the opportunity of a lifetime to audition for Rainbow Puppy's Broadway musical, Josh and Blue skidoo to NYC for the very first time where they meet new friends and discover the magic of music, dance, and following one's dreams.","Joshua Dela Cruz, Josh, Steve Burns, Steve / NYC Cup of Coffee (voice), Donovan Patton, Joe / Skiddo Express (voice), Traci Paige Johnson, Blue / Off-Camera Auditoner #2 (voice), Nick Balaban, Mr. Salt / Off-Camera Auditioner #1 (voice), BD Wong, Director, Ali Stroker, Ali Stroker, Taboo, Taboo, Alex Winter, Cab Driver","Blue's Big City Adventure"," Released"," English",132000000,352601141.6,AU,2022-11-18
"After Ever Happy","09/08/2022 ",69,"Romance, Drama","As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin - any more than he is the cruel, moody boy she fell so hard for.","Josephine Langford, Tessa Young, Hero Fiennes Tiffin, Hardin Scott, Louise Lombard, Trish Daniels, Chance Perdomo, Landon Gibson, Rob Estes, Ken Scott, Arielle Kebbel, Kimberly "Kim" Vance, Stephen Moyer, Christian Vance, Mira Sorvino, Carol Young, Frances Turner, Karen Scott","After Ever Happy"," Released"," English",24220050,12467270,AU,2022-09-08
"On the Line","11/17/2022 ",62,Thriller,"A provocative and edgy radio host must play a dangerous game of cat and mouse with a mysterious caller who's kidnapped his family and is threatening to blow up the whole station.","Mel Gibson, Elvis Cooney, William Moseley, Dylan, Alia Seror-O'Neill, Mary, Paul Spera, Gary / James, Kevin Dillon, Justin, Nadia Farès, Sam Dubois, Yoli Fuller, Steven, Yann Bean, Bruce, Enrique Arce, Tony","On the Line"," Released"," English",10000000,16222303,AU,2022-11-17
Ben-Hur,"05/12/1960 ",79,"Action, Drama, History","In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...","Charlton Heston, Judah Ben-Hur, Haya Harareet, Esther, Stephen Boyd, Messala, Martha Scott, Miriam, Cathy O'Donnell, Tirzah, Jack Hawkins, Quintus Arrius, Sam Jaffe, Simonides, Hugh Griffith, Scheich Ildirim, Finlay Currie, Balthasar",Ben-Hur," Released"," English",95000000,91669648,AU,1960-05-12
Ben-Hur,"05/12/1960 ",79,"Action, Drama, History","In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...","Charlton Heston, Judah Ben-Hur, Haya Harareet, Esther, Stephen Boyd, Messala, Martha Scott, Miriam, Cathy O'Donnell, Tirzah, Jack Hawkins, Quintus Arrius, Sam Jaffe, Simonides, Hugh Griffith, Scheich Ildirim, Finlay Currie, Balthasar",Ben-Hur," Released"," English",15000000,73259017,AU,1960-05-12
"The Next 365 Days","08/19/2022 ",65,"Romance, Drama","Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.","Anna-Maria Sieklucka, Laura Torricelli, Michele Morrone, Massimo Torricelli, Simone Susinna, Marcelo "Nacho" Matos, Magdalena Lamparska, Olga, Otar Saralidze, Domenico, Ewa Kasprzyk, Klara Biel, Dariusz Jakubowski, Tomasz Biel, Ramón Langa, Don Fernando Matos, Tomasz Mandes, Tommaso"," Kolejne 365 dni"," Released"," Polish",111600000,534358853.4,US,2022-08-19
"Hocus Pocus 2","09/30/2022 ",74,"Fantasy, Comedy, Family","29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.","Bette Midler, Winifred Sanderson, Sarah Jessica Parker, Sarah Sanderson, Kathy Najimy, Mary Sanderson, Whitney Peak, Becca, Belissa Escobedo, Izzy, Lilia Buckingham, Cassie, Froy Gutierrez, Mike, Sam Richardson, Gilbert, Doug Jones, Billy Butcherson","Hocus Pocus 2"," Released"," English",40000000,0,AU,2022-09-30
Morbius,"03/31/2022 ",62,"Action, Science Fiction, Fantasy","Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.","Jared Leto, Dr. Michael Morbius / Morbius, Matt Smith, Milo / Lucien, Adria Arjona, Martine Bancroft, Jared Harris, Dr. Emil Nicholas, Al Madrigal, Agent Alberto Rodriguez, Tyrese Gibson, Agent Simon Stroud, Zaris-Angel Hator, Anna, Joe Ferrara, Bush Pilot, Charlie Shotwell, Young Michael",Morbius," Released"," English",75000000,162759437,AU,2022-03-31
"Cars 2","06/11/2011 ",61,"Animation, Family, Adventure, Comedy","Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.","Larry the Cable Guy, Mater (voice), Owen Wilson, Lightning McQueen (voice), Michael Caine, Finn McMissile (voice), Emily Mortimer, Holley Shiftwell (voice), John Turturro, Francesco Bernoulli (voice), Eddie Izzard, Sir Miles Axlerod (voice), Thomas Kretschmann, Professor Z (voice), Guido Quaroni, Guido (voice), Joe Mantegna, Grem (voice)","Cars 2"," Released"," English",200000000,560155383,AU,2011-06-11
Tangled,"01/06/2011 ",76,"Animation, Family","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","Mandy Moore, Rapunzel (voice), Zachary Levi, Flynn Rider (voice), Donna Murphy, Mother Gothel (voice), Ron Perlman, Stabbington Brother (voice), M.C. Gainey, Captain of the Guard (voice), Jeffrey Tambor, Big Nose Thug (voice), Brad Garrett, Hook Hand Thug (voice), Paul F. Tompkins, Short Thug (voice), Richard Kiel, Vlad (voice)",Tangled," Released"," English",260000000,583777242,AU,2011-01-06
"The Minute You Wake Up Dead","02/01/2023 ",57,"Thriller, Crime","A stockbroker in a small southern town gets embroiled in an insurance scam with a next-door neighbor that leads to multiple murders when a host of other people want in on the plot. Sheriff Thurmond Fowler, the by-the-book town sheriff for over four decades, works earnestly to try and unravel the town's mystery and winds up getting more than he bargained for.","Cole Hauser, Jason, Jaimie Alexander, Delaine, Morgan Freeman, Sheriff Thurmond Fowler, Darren Mann, Lucius, Andrew Stevens, Dewey, Kenneth Farmer, Atticus, Ben VanderMey, Deputy Kane, Tony DeMil, Jody, Liann Pattison, Purnie Cannon","The Minute You Wake Up Dead"," Released"," English",170000000,351483918,AU,2023-02-01
"Fifty Shades of Grey","02/12/2015 ",59,"Drama, Romance, Thriller","When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.","Dakota Johnson, Anastasia Steele, Jamie Dornan, Christian Grey, Jennifer Ehle, Carla Wilks, Eloise Mumford, Kate Kavanagh, Victor Rasuk, Jose Rodriguez, Luke Grimes, Elliot Grey, Marcia Gay Harden, Dr. Grace Trevelyan-Grey, Rita Ora, Mia Grey, Max Martini, Jason Taylor","Fifty Shades of Grey"," Released"," English",40000000,570794950,AU,2015-02-12
"Harry Potter and the Deathly Hallows: Part 2","07/13/2011 ",81,"Fantasy, Adventure","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.","Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Ralph Fiennes, Lord Voldemort, Alan Rickman, Severus Snape, Helena Bonham Carter, Bellatrix Lestrange, Maggie Smith, Minerva McGonagall, Michael Gambon, Albus Dumbledore, John Hurt, Ollivander","Harry Potter and the Deathly Hallows: Part 2"," Released"," English",125000000,1341511219,AU,2011-07-13
"The Help","09/01/2011 ",82,Drama,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia "Skeeter" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around "the help"; yet they are always kept at a certain distance because of racial lines.","Emma Stone, Eugenia "Skeeter" Phelan, Viola Davis, Aibileen Clark, Octavia Spencer, Minny Jackson, Bryce Dallas Howard, Hilly Holbrook, Jessica Chastain, Celia Foote, Anna Camp, Jolene French, Ahna O'Reilly, Elizabeth Leefolt, Allison Janney, Charlotte Phelan, Mary Steenburgen, Elain Stein","The Help"," Released"," English",25000000,213120004,AU,2011-09-01
"Monsters, Inc.","12/26/2001 ",78,"Animation, Comedy, Family","James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.","John Goodman, Sullivan (voice), Billy Crystal, Mike (voice), Mary Gibbs, Boo (voice), Steve Buscemi, Randall (voice), James Coburn, Waternoose (voice), Jennifer Tilly, Celia (voice), Bob Peterson, Roz (voice), John Ratzenberger, Yeti (voice), Frank Oz, Jeff Fungus (voice)","Monsters, Inc."," Released"," English",115000000,560483719,AU,2001-12-26
"The Ice Age Adventures of Buck Wild","03/25/2022 ",67,"Animation, Comedy, Adventure, Family","The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.","Simon Pegg, Buck Wild (voice), Vincent Tong, Crash (voice), Aaron Harris, Eddie (voice), Utkarsh Ambudkar, Orson (voice), Justina Machado, Zee (or whatever her name is) (voice), Sean Kenin, Manny (voice), Dominique Jennings, Ellie (voice), Jake Green, Sid (voice), Skyler Stone, Diego (voice)","The Ice Age Adventures of Buck Wild"," Released"," English",143000000,508164908,AU,2022-03-25
Samaritan,"08/25/2022 ",68,"Action, Crime, Science Fiction","Thirteen year old Sam Cleary suspects that his mysteriously reclusive neighbor Mr. Smith is actually the legendary vigilante Samaritan, who was reported dead 25 years ago. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin.","Javon Walton, Sam Cleary, Sylvester Stallone, Joe Smith, Dascha Polanco, Tiffany Cleary, Moisés Arias, Reza, Pilou Asbæk, Cyrus, Sophia Tatum, Sil, Martin Starr, Albert Casler, Henry G. Sanders, Arthur Holloway, Jared Odrick, Farshad",Samaritan," Released"," English",100000000,380428883,US,2022-08-25
"Godzilla vs. Kong","03/24/2021 ",77,"Action, Fantasy, Science Fiction","In a time when monsters walk the Earth, humanity's fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.","Alexander Skarsgård, Nathan Lind, Millie Bobby Brown, Madison Russell, Rebecca Hall, Ilene Andrews, Brian Tyree Henry, Bernie Hayes, Shun Oguri, Ren Serizawa, Eiza González, Maia Simmons, Julian Dennison, Josh Valentine, Lance Reddick, Guillermin, Kyle Chandler, Mark Russell","Godzilla vs. Kong"," Released"," English",155000000,468043852,AU,2021-03-24
"Paradise City","01/01/2023 ",58,"Action, Crime, Thriller","Renegade bounty hunter Ryan Swan must carve his way through the Hawaiian crime world to wreak vengeance on the kingpin who murdered his father.","John Travolta, Buck, Bruce Willis, Ian Swan, Blake Jenner, Ryan Swan, Stephen Dorff, Robbie Cole, Corey Large, Zyatt, Branscombe Richmond, Senator Kane, Lorenzo Antonucci, Scorpion, Kate Katzman, Nikki, Amber Abara, Gerry","Paradise City"," Released"," English",20000000,161597374.4,AU,2023-01-01
"Shang-Chi and the Legend of the Ten Rings","09/02/2021 ",76,"Action, Adventure, Fantasy","Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.","Simu Liu, Shaun / Shang-Chi, Tony Leung Chiu-wai, Xu Wenwu / The Mandarin, Awkwafina, Katy Chen, Zhang Meng'er, Xu Xialing, Fala Chen, Ying Li, Michelle Yeoh, Ying Nan, Yuen Wah, Master Guang Bo, Ben Kingsley, Trevor Slattery, Florian Munteanu, Razor Fist","Shang-Chi and the Legend of the Ten Rings"," Released"," English",150000000,432224634,AU,2021-09-02
"Zack Snyder's Justice League","03/18/2021 ",82,"Action, Adventure, Fantasy, Science Fiction","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.","Ben Affleck, Bruce Wayne / Batman, Henry Cavill, Clark Kent / Superman / Kal-El, Gal Gadot, Diana Prince / Wonder Woman, Jason Momoa, Arthur Curry / Aquaman, Ezra Miller, Barry Allen / The Flash, Ray Fisher, Victor Stone / Cyborg, Amy Adams, Lois Lane, Jeremy Irons, Alfred Pennyworth, Connie Nielsen, Queen Hippolyta","Zack Snyder's Justice League"," Released"," English",70000000,136635234.2,AU,2021-03-18
Lightyear,"06/16/2022 ",71,"Animation, Action, Adventure, Family, Science Fiction","Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.","Chris Evans, Buzz Lightyear (voice), Keke Palmer, Izzy Hawthorne (voice), Peter Sohn, SOX (voice), Taika Waititi, Mo Morrison (voice), Dale Soules, Darby Steel (voice), James Brolin, Zurg (voice), Uzo Aduba, Alisha Hawthorne (voice), Mary McDonald-Lewis, I.V.A.N. (voice), Isiah Whitlock Jr., Commander Burnside (voice)",Lightyear," Released"," English",200000000,218768299,AU,2022-06-16
Ritual,"09/07/2022 ",71,Thriller,"The discovery of a chopped-off hand in a Brussels canal forces Belgian police diver Kiki to face deep guilt from the past, her own and her country's.  Based on the book 'Ritual' by Mo Hayder.","Marie Vinck, Kiki, Geert Van Rampelberg, Nick Cafmeyer, Ériq Ebouaney, Cézaire, Lukas Bulteel, Tom, Willem Herbots, Jonas, Frank Onana, Dopie, Line Pillet, Borsu, Babetida Sadjo, l'activiste, Stany Paquay, l'activiste"," Ritueel"," Released"," Dutch, Flemish",102400000,502443287.6,BE,2022-09-07
"Love at First Kiss","03/03/2023 ",62,"Romance, Comedy","The story of Javier who, at the age of 16, while kissing a girl for the first time, realized that he had a gift of romantic clairvoyance. Javier can see the future... and he finally knows who the love of his life is.","Álvaro Cervantes, Javier, Silvia Alonso, Lucía, Gorka Otxoa, , Susana Abaitua, , Pilar Castro, "," Eres tú"," Released"," Spanish, Castilian",178400000,324436308.4,US,2023-03-03
"The Last Client","06/20/2022 ",76,"Thriller, Crime","Renowned psychologist Susanne (Signe Egholm Olsen) is caught in a living nightmare when her new client (Anton Hjejle) turns out to be a wanted serial killer.","Signe Egholm Olsen, Susanne Hartmann, Anton Hjejle, Mark Zidenius, Dan Zahle, Bjørn, Sara Fanta Traore, Johanne, Anders Mossling, Gregers"," Klienten"," Released"," Danish",149400000,426175485.2,DK,2022-06-20
Suzume,"04/13/2023 ",82,"Animation, Drama, Adventure, Fantasy","Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.","Nanoka Hara, Suzume Iwato (voice), Hokuto Matsumura, Souta Munakata (voice), Eri Fukatsu, Tamaki Iwato (voice), Shota Sometani, Minoru Okabe (voice), Sairi Ito, Rumi Ninomiya (voice), Kotone Hanase, Chika Amabe (voice), Kana Hanazawa, Tsubame Iwato (voice), Matsumoto Hakuō II, Hitsujiro Munakata (voice), Ryunosuke Kamiki, Tomoya Serizawa (voice)"," すずめの戸締まり"," Released"," Japanese",8224023.8,102258981,AU,2023-04-13
"Pirates of the Caribbean: At World's End","05/24/2007 ",72,"Adventure, Fantasy, Action","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","Johnny Depp, Jack Sparrow, Orlando Bloom, Will Turner, Keira Knightley, Elizabeth Swann, Geoffrey Rush, Hector Barbossa, Stellan Skarsgård, William "Bootstrap Bill" Turner, Chow Yun-fat, Sao Feng, Bill Nighy, Davy Jones, Jack Davenport, James Norrington, Kevin McNally, Joshamee Gibbs","Pirates of the Caribbean: At World's End"," Released"," English",300000000,961000000,AU,2007-05-24
"King Shakir Recycle","07/14/2022 ",57,"Animation, Adventure, Family, Action, Comedy, Science Fiction","Scientists trying to solve the environmental crisis of pollution devise a way to send the collected garbage into space via rocket ships. When this garbage starts to land on alien planets, the outraged aliens head to Earth for revenge. King Shakir and his family must do their best to protect the world from alien destruction.","Skyler Davenport, Canan, Brock Powell, Necati"," Kral Sakir: Geri Dönüsüm"," Released"," Turkish",87200000,387787979,TR,2022-07-14
"The School for Good and Evil","10/19/2022 ",72,Fantasy,"Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains - and find themselves on opposing sides of the battle between good and evil.","Sofia Wylie, Agatha, Sophia Anne Caruso, Sophie, Kerry Washington, Professor Dovey, Charlize Theron, Lady Lesso, Laurence Fishburne, School Master, Michelle Yeoh, Professor Anemone, Jamie Flatters, Tedros, Kit Young, Rafal / Rhian, Peter Serafinowicz, Yuba","The School for Good and Evil"," Released"," English",137000000,750323829.8,AU,2022-10-19
Monstrous,"05/13/2022 ",60,"Horror, Mystery, Thriller","Laura, traumatized by an abusive relationship, runs away from her former husband with her seven-year-old son Cody. But in their new, idyllic and remote sanctuary, they find they have another, bigger and more terrifying monster to deal with…","Christina Ricci, Laura, Santino Barnard, Cody, Don Baldaramos, Mr. Langtree, Colleen Camp, Mrs. Langtree, Lew Temple, Mr. Alonzo, Carol Anne Watts, Jane, Peter Hodge, Policeman, Nick Vallelonga, Legionnaire, Sally Elbert, Grandmother",Monstrous," Released"," English",6320000,138450,US,2022-05-13
"Shrek 2","06/17/2004 ",72,"Animation, Family, Comedy, Fantasy, Adventure, Romance","Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.","Mike Myers, Shrek (voice), Eddie Murphy, Donkey (voice), Cameron Diaz, Princess Fiona (voice), Julie Andrews, Queen Lillian (voice), Antonio Banderas, Puss in Boots (voice), John Cleese, King Harold (voice), Rupert Everett, Prince Charming (voice), Jennifer Saunders, Fairy Godmother (voice), Aron Warner, Wolf (voice)","Shrek 2"," Released"," English",70000000,935253978,AU,2004-06-17
"The Unbearable Weight of Massive Talent","04/21/2022 ",68,"Action, Comedy, Crime","Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.","Nicolas Cage, Nick Cage, Pedro Pascal, Javi Gutierrez, Tiffany Haddish, Vivian, Neil Patrick Harris, Richard Fink, Lily Mo Sheen, Addy, Sharon Horgan, Olivia, Ike Barinholtz, Martin, Paco León, Lucas Gutierrez, Jacob Scipio, Carlos","The Unbearable Weight of Massive Talent"," Released"," English",30000000,29116320,AU,2022-04-21
"Fifty Shades Freed","01/17/2018 ",67,"Drama, Romance","Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.","Dakota Johnson, Anastasia Steele, Jamie Dornan, Christian Grey, Eric Johnson, Jack Hyde, Luke Grimes, Elliot Grey, Rita Ora, Mia Grey, Eloise Mumford, Kate Kavanagh, Victor Rasuk, Jose, Marcia Gay Harden, Dr. Grace Trevelyan-Grey, Andrew Airlie, Carrick Grey","Fifty Shades Freed"," Released"," English",55000000,371985018,AU,2018-01-17
"El tirabeque","11/25/2022 ",30,Comedy,"We don't have an overview translated in English. Help us expand our database by adding one.","Darío Autrán, , Déborah Vukusic, , Lidia Veiga, , Pablo Reyes, , Sabela Hermida, , Manuel Manquiña, , Celso Bugallo, ","El tirabeque"," Released"," Spanish, Castilian",15541000,38139010,ES,2022-11-25
"The Battle at Lake Changjin: Water Gate Bridge","02/11/2022 ",69,"War, History, Action, Drama","In the follow-up to "The Battle At Lake Changjin", brothers Wu Qianli and Wu Wanli undertake a new task for the People's Volunteer Army, defending a bridge part of the American troops' escape route from the advancing Chinese.","Wu Jing, Wu Qianli, Jackson Yee, Wu Wanli, Duan Yihong, Tan Ziwei, Yawen Zhu, Mei Sheng, Jerry Lee, Yu Congrong, Elvis Han, Ping He, Zhang Hanyu, Shilun Song, Geng Le, Yang Lao, Du Chun, Trad Zhang"," 长津湖之水门桥"," Released"," Chinese",200000000,626203271,AU,2022-02-11
"Spider-Man: Into the Spider-Verse","12/13/2018 ",84,"Action, Adventure, Animation, Science Fiction","Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson "Kingpin" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.","Shameik Moore, Miles Morales / Spider-Man (voice), Jake Johnson, Peter B. Parker / Spider-Man (voice), Hailee Steinfeld, Gwen Stacy / Spider-Woman (voice), Mahershala Ali, Uncle Aaron / Prowler (voice), Brian Tyree Henry, Jefferson Davis (voice), Lily Tomlin, Aunt May (voice), Luna Lauren Velez, Rio Morales (voice), Zoë Kravitz, Mary Jane (voice), John Mulaney, Peter Porker / Spider-Ham (voice)","Spider-Man: Into the Spider-Verse"," Released"," English",90000000,375540831,AU,2018-12-13
"Harry Potter and the Deathly Hallows: Part 1","11/13/2010 ",78,"Adventure, Fantasy","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.","Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Helena Bonham Carter, Bellatrix Lestrange, Robbie Coltrane, Rubeus Hagrid, Ralph Fiennes, Lord Voldemort, Michael Gambon, Albus Dumbledore, Bill Nighy, Rufus Scrimgeour, Brendan Gleeson, Alastor "Mad-Eye" Moody","Harry Potter and the Deathly Hallows: Part 1"," Released"," English",250000000,954305868,AU,2010-11-13
"Emily the Criminal","06/08/2022 ",68,"Crime, Drama, Thriller","Desperate for income, Emily takes a shady gig buying goods with stolen credit cards supplied by a charismatic middleman named Youcef. Seduced by the quick cash and illicit thrills, they hatch a plan to take their business to the next level.","Aubrey Plaza, Emily, Theo Rossi, Youcef, Megalyn Echikunwoke, Liz, Gina Gershon, Alice, Jonathan Avigdori, Khalil, Bernardo Badillo, Javier, Craig Stark, Chip, Brandon Sklenar, Brent, John Billingsley, Office Manager (uncredited)","Emily the Criminal"," Released"," English",116200000,572201947,AU,2022-06-08
